CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
253131383,2022-10-24,15:00:00,10/24/2022,16:00:00,48.0,10/26/2022,233,SEX CRIMES,170.0,"SEXUAL MISCONDUCT,INTERCOURSE",COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),1011751.0,246839.0,UNKNOWN,UNKNOWN,M,40.8441566000203,-73.9006054489734,"(40.8441566000203, -73.9006054489734)",PATROL BORO BRONX,(null),<18,BLACK,F
234540632,2021-10-05,18:00:00,10/05/2021,19:00:00,108.0,10/05/2021,233,SEX CRIMES,681.0,"CHILD, ENDANGERING WELFARE",COMPLETED,MISDEMEANOR,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),996424.0,210017.0,25-44,WHITE HISPANIC,F,40.7431245994984,-73.9560680726795,"(40.7431245994984, -73.9560680726795)",PATROL BORO QUEENS NORTH,(null),<18,WHITE HISPANIC,F
255047701,2022-12-03,19:40:00,12/03/2022,19:45:00,13.0,12/03/2022,233,SEX CRIMES,175.0,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),988886.0,207857.0,UNKNOWN,WHITE HISPANIC,M,40.7372030985741,-73.9832725981497,"(40.7372030985741, -73.9832725981497)",PATROL BORO MAN SOUTH,(null),18-24,WHITE,F
251039286,2022-09-13,22:40:00,09/13/2022,22:46:00,61.0,09/13/2022,353,UNAUTHORIZED USE OF A VEHICLE,462.0,UNAUTHORIZED USE VEHICLE 3,COMPLETED,MISDEMEANOR,BROOKLYN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),995468.0,160865.0,25-44,WHITE,M,40.608207,-73.959597,"(40.608207, -73.959597)",PATROL BORO BKLYN SOUTH,(null),UNKNOWN,UNKNOWN,M
227853855,2021-05-06,17:30:00,05/07/2021,08:30:00,101.0,05/07/2021,353,UNAUTHORIZED USE OF A VEHICLE,462.0,UNAUTHORIZED USE VEHICLE 3,COMPLETED,MISDEMEANOR,QUEENS,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),1051091.0,159336.0,UNKNOWN,UNKNOWN,U,40.603766,-73.759286,"(40.603766, -73.759286)",PATROL BORO QUEENS SOUTH,(null),45-64,WHITE HISPANIC,F
227981775,2021-05-08,15:00:00,05/09/2021,09:00:00,49.0,05/10/2021,104,RAPE,155.0,RAPE 2,COMPLETED,FELONY,BRONX,INSIDE,HOTEL/MOTEL,N.Y. POLICE DEPT,0,(null),(null),(null),1027434.0,251387.0,18-24,WHITE HISPANIC,M,40.8565767275976,-73.8438936779283,"(40.8565767275976, -73.8438936779283)",PATROL BORO BRONX,(null),<18,WHITE HISPANIC,F
263850468,2023-02-10,22:00:00,,(null),115.0,02/10/2023,233,SEX CRIMES,170.0,"SEXUAL MISCONDUCT,INTERCOURSE",COMPLETED,MISDEMEANOR,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),1018623.0,214936.0,(null),(null),(null),40.7565675846374,-73.8759315341335,"(40.7565675846374, -73.8759315341335)",PATROL BORO QUEENS NORTH,(null),<18,WHITE HISPANIC,F
244553539,2022-05-01,09:40:00,,(null),45.0,05/01/2022,233,SEX CRIMES,175.0,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,BRONX,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),1032091.0,241976.0,45-64,UNKNOWN,M,40.8307223277672,-73.8271260588639,"(40.8307223277672, -73.8271260588639)",PATROL BORO BRONX,(null),25-44,WHITE HISPANIC,F
243678148,2022-02-25,21:00:00,02/25/2022,21:10:00,109.0,04/06/2022,233,SEX CRIMES,175.0,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,QUEENS,INSIDE,BAR/NIGHT CLUB,N.Y. POLICE DEPT,0,(null),(null),(null),1032051.0,217053.0,UNKNOWN,ASIAN / PACIFIC ISLANDER,U,40.7623158004241,-73.8274480018593,"(40.7623158004241, -73.8274480018593)",PATROL BORO QUEENS NORTH,(null),45-64,ASIAN / PACIFIC ISLANDER,F
272638401,2023-08-09,18:40:00,08/09/2023,18:42:00,14.0,08/09/2023,116,SEX CRIMES,596.0,OBSCENE MATERIAL - UNDER 17 YE,COMPLETED,FELONY,MANHATTAN,(null),TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,(null),(null),(null),985764.0,213806.0,18-24,WHITE HISPANIC,M,40.7535327012632,-73.9945368920152,"(40.7535327012632, -73.9945368920152)",PATROL BORO MAN SOUTH,42 ST.-GRAND CENTRAL,18-24,ASIAN / PACIFIC ISLANDER,F
