Incident Reporting Date,Trafficking Type,Industry Sector,Recruitment Method,Transportation Method,Coercion Method,Trafficker Gender,Trafficker Age,Victim Gender,Victim Age,Info Source,Data Source,Country Code,Country,Location Type,Latitude,Longitude
2024-11-07,Forced Criminality,"Personal Sexual Servitude,Servitude",Violence Threats Abuse,Unknown,"Forced,Sexual Abuse",Unknown,,,,Internet/URL,tah,US,United States,Arrest,40.78,-73.97
2022-12-08,"Child Sexual Exploitation,Sexual Exploitation","Personal Sexual Servitude,Pornography,Servitude",Violence Threats Abuse,Unknown,Minor,Male,59,,in ages from 8 to 17,Internet/URL,tah,US,United States,Target,40.71,-74.01
2023-10-02,"Child Trafficking,Child Sexual Exploitation,Forced Criminality","Arts and Entertainment,Child Marriage,Domestic Work/Servitude,Personal Sexual Servitude,Pre-School/Child Day Care Service,Servitude,Sexual Servitude","Financial Inducement,Violence Threats Abuse,Religious/Ritualistic Coercion",Car,Minor,"Male,Female","60-year-old,38,41,49",Female,"infants,18 years old,217-year-old,century-old,150-year-old",Internet/URL,tah,US,United States,Trafficker_Origin_Nationality,40.93,-73.9
2025-02-05,Sexual Exploitation,"Personal Sexual Servitude,Servitude",Violence Threats Abuse,Unknown,Minor,Male,55-year-old,Female,"16-year-old,minor,minors",Internet/URL,tah,US,United States,Unknown,40.65,-73.95
2022-02-20,"Child Trafficking,Child Sexual Exploitation,Sexual Exploitation","Arts and Entertainment,Child Marriage,Personal Sexual Servitude,Prostitution/Brothel/Escort Agency,Servitude,Sexual Servitude","Financial Inducement,Violence Threats Abuse","Aeroplane,Car","Minor,Sexual Abuse",Unknown,,,,Internet/URL,tah,US,United States,Unknown,40.78,-73.97
2022-11-06,"Child Trafficking,Child Sexual Exploitation,Forced Marriage","Accommodation/Hotel/Motel,Arts and Entertainment,Child Marriage,Domestic Work/Servitude,Personal Sexual Servitude,Pre-School/Child Day Care Service,Servitude,Sexual Servitude","Financial Inducement,Relationship Marriage,Violence Threats Abuse,Religious/Ritualistic Coercion",Car,"Minor,Psychological Abuse/Threat or Force,Sexual Abuse",Unknown,,,,Internet/URL,tah,US,United States,Unknown,40.71,-74.01
2023-08-06,"Child Sexual Exploitation,Sexual Exploitation","Personal Sexual Servitude,Servitude",Violence Threats Abuse,Unknown,"Minor,Sexual Abuse",Unknown,,,,Internet/URL,tah,US,United States,Unknown,40.9,-73.85
2023-12-25,,"Domestic Work/Servitude,Illicit Activities,Personal Sexual Servitude,Servitude,Sexual Servitude","Financial Inducement,Financial Obligation, Blackmail,Violence Threats Abuse",Aeroplane,Forced,Unknown,,,,Internet/URL,tah,US,United States,Unknown,40.78,-73.97
2023-11-16,"Child Trafficking,Child Sexual Exploitation,Sexual Exploitation","Personal Sexual Servitude,Servitude,Sexual Servitude","Financial Inducement,Violence Threats Abuse",Unknown,"Forced,Minor",Unknown,"29-30,42,55",,,Internet/URL,tah,US,United States,Unknown,40.78,-73.97
2023-03-15,"Child Sexual Exploitation,Child Marriage,Forced Marriage","Child Marriage,Personal Sexual Servitude,Pre-School/Child Day Care Service,Servitude",Relationship Marriage,Car,"Forced,Minor",Unknown,,Female,"age of 14,under the age of 18,age of 19,12 years",Internet/URL,tah,US,United States,Arrest,40.71,-74.01
